25
AMSTERDAM	ANKARA	ATENAS	BARCELONA	BARI		BELGRADO	BERLIN	BRUSELAS	BUCAREST	BUDAPEST	BURDEOS	CALAIS	COPENHAGUE	DUBLIN	DUBROVNIK	EDIMBURGO	ESTAMBUL	ESTOCOLMO	ESTRASBURGO	FRANKFURT	GINEBRA	HAMBURGO	HELSINKI	KIEV		CORU¥A
0		    3210		3070		1588		2056		1831		685		198		2328		1442		1036		353		803		878		2054		989		2771		1427		674		454         1038		496		1860		2070		2031
3210        0		    1644		3549		1941		1379 		2696 		3165 		1168 		1774 		3469 		3367 		3157 		4073 		1831 		4184 		439 		3766 		2743 		2756        2838    	3320 		3444 		2270 		4464
3070		1644    	0 		    3409 		942 		1239 		2556 		3025 		1299 		1634 		3329 		3227 		3017 		3933 		1301 		4044 		1205 		3626 		2603 		2616        2698 		2845 		3416 		2401 		4419
1588        3549    	3409    	0    		1941 		2170		1829 		1409 		2883 		2102 		595 		1406 		2087 		2112 		2240 		2223 		3110 		2711 		1052 		1274        808     	1780        3071 		3214 		1118
2056        1941    	942     	1941        0 		     801 		1819 		1835 		1514 		1196 		1907 		2020 		2309 		2726 		184 		2837 		1502 		2933 		1401 		1602        1276    	2002        3293 		2132 		2902
1831        1379    	1239    	2170        801   	       0        1317 		1786 		713 		395 		2090 		1988 		1778 		2694 		617 		2805 		940 		2387 		1364 		1377        1459    	2055        2177 		1331 		3085
685         2696    	2556    	1829        1819  	    1317        0 		     789 		1771 		922 		1661 		991 		461 		1530 		1795 		1641 		2257 		1070 		775 		555         1139    	289         1430 		1385 		2656
198         3165    	3025    	1409        1835    	1786        789     	0           2283 		1397 		857 		202 		968 		908 		2009 		1019 		2726 		1592 		434 		409         817     	661         1952 		2174 		1852
2328        1168    	1299    	2883        1514    	713         1771    	2283        0 		     886 		2803  	    2485 		2134 		3191 		1330 		3302 		729 		2774 		2077 		1874        2172   	2060        2276 		1102 		3798
1442        1774    	1634    	2102        1196    	395         922     	1397        886         0           2010 		1599 		1383 		2305 		1012 		2416 		1335 		1992 		1087 		988         1294    	1211        1782 		1137 		3005
1036        3469    	3329    	595         1907    	2090        1661    	857         2803        2010        0		    854 		1840 		1560 		2160 		1671 		3030 		2464 		962 		1134        716     	1533        2824 		3046 		995
353         3367    	3227    	1406        2020    	1988        991     	202         2485        1599        854     	0 		1170 		706 		2211 		817 		2928 		1794 		636         611         864     	863         2154 		2376 		1849
803         3157    	3017    	2087        2309    	1778        461     	968         2134        1383        1840    	1170    	0 		1681 		2256 		1221 		2718 		624 		1033 		813         1397    	307         984  		1748 		2835
878         4073    	3933    	2112        2726    	2694        1530    	908         3191        2305        1560    	2211    	1681        0 		2917 		644 		3634 		2305 		1342 		1317        1570    	1374        2665 		2915 		2555
2054        1831    	1301    	2240        184     	617         1795    	2009        1330        1012        2160    	817     	2256        2917    	0 		3028 		1392 		2865 		1587 		1600        1529    	1998        2794 		1948 		3155
989         4184    	4044    	2223        2837    	2805        1641    	1019        3302        2416        1671    	2928    	1221        644     	3028        0 		3745 		1449 		1453 		1428        1681    	1485        1809 		3026 		2666
2771        439     	1205    	3110        1502    	940         2257    	2726        729         1335        3030    	1794    	2718        3634    	1392        3745        0 		3327 		2304 		2317        2399    	2715        3005 		1831 		4025
1427        3766    	3626    	2711        2933    	2387        1070    	1592        2774        1992        2624    	636     	624         2305    	2865        1449        3327        0 		1657 		1437        2021    	931         360  		2378 		3459
674         2743    	2603    	1052        1401    	1364        775     	434         2077        1087        962     	611     	1033        1342    	1587        1453        2304        1657        0           220         383     	726         2017 		2160 		1957
454         2756    	2616    	1274        1602    	1377        555     	409         1874        988         1534    	864     	813         1317    	1600        1428        2317        1437        220         0           584     	495         1797 		1940 		2129
1038 		2838 		2698 		808 		1276 		1459 		1139 		817 		2172 		1294 		716 		864 		1397 		1570 		1529 		1681 		2399 		2021 		383 		584         0       	1090        2381 		2336 		1711
496 		3320 		2845 		1780 		2002 		2055 		289 		661 		2060 		1211 		1533 		863 		307 		1374 		1998 		1485 		2715 		931 		726 		495 		1090    	0           1291 		1674 		2528
1860 		3444 		3416 		3071 		3293 		2177 		1430 		1952 		2276 		1782 		2824 		2154 		984 		2665 		2794 		1809 		3005 		360 		2017 		1797 		2381 		1291 		0           1620    	3819
2070		2270		2401		3214		2132		1331		1385 		2174 		1102 		1137 		3046 		2376 		1748 		2915 		1948 		3026 		1831 		2378 		2160 		1940 		2336 		1674 		1620        0		4041
2031 		4464 		4419 		1118 		2902 		3085 		2656 		1852 		3798 		3005 		995 		1849 		2835 		2555 		3155 		2666 		4025 		3459 		1957 		2129 		1711 		2528 		3819 		4041 		0                                                                                  0
